Fifty2525,Business Line (group),Business Line,Date Prefix,Revenue Type Note,Adjustments Outcome,No-Adjustments Value,Date,Framework Selection Calculation,Description1,Revenue and Expense Type,Year,Value
Motor Vehicle Cross-subsidies,New York City Transit,New York City Transit,,Includes tolls collected from the MTA's Bridges and Tunnels,0,0,1/1/2010,Toll Revenue,Toll Increase 2021,Toll Revenue,2010,
General Taxpayer Subsidies,New York City Transit,New York City Transit,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",201.4,201.4,1/1/2010,Dedicated Taxes and Subsidies,Urban Tax,Dedicated Taxes and Subsidies,2010,201.4
Motor Vehicle Cross-subsidies,New York City Transit,New York City Transit,,Includes tolls collected from the MTA's Bridges and Tunnels,199.1828615,199.1828615,1/1/2011,Toll Revenue,B&T Operating Surplus,Toll Revenue,2011,199.1828615
Fares and Other Operating Revenue,New York City Transit,New York City Transit,,Includes farebox revenue and unused fare media.,868.194,868.194,1/1/2011,Fare Revenue,Bus,Fare Revenue,2011,868.194
Motor Vehicle Cross-subsidies,New York City Transit,New York City Transit,,Includes tolls collected from the MTA's Bridges and Tunnels,283.987,283.987,1/1/2011,Toll Revenue,B&T-Paid Debt Service,Toll Revenue,2011,283.987
Fares and Other Operating Revenue,New York City Transit,New York City Transit,,Includes farebox revenue and unused fare media.,0,0,1/1/2011,Fare Revenue,Fare Increase 2021,Fare Revenue,2011,
Fares and Other Operating Revenue,New York City Transit,New York City Transit,,Includes farebox revenue and unused fare media.,47.475,47.475,1/1/2011,Fare Revenue,Fare Media Liability,Fare Revenue,2011,47.475
Fares and Other Operating Revenue,New York City Transit,New York City Transit,,"Includes reimbursements from New York City for public school student and senior fares and for the provision of paratransit service. Also includes all other operating revenues from rental income, advertising, and other miscellaneous sources.",84.016,84.016,1/1/2011,Other Operating Revenue,Fare Reimbursement,Other Operating Revenue,2011,84.016
Motor Vehicle Cross-subsidies,New York City Transit,New York City Transit,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",,,1/1/2011,Dedicated Taxes and Subsidies,General Transportation Account,Dedicated Taxes and Subsidies,2011,
General Taxpayer Subsidies,New York City Transit,New York City Transit,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",163.0021944,163.0021944,1/1/2011,Dedicated Taxes and Subsidies,Local Operating Assistance,Dedicated Taxes and Subsidies,2011,163.0021944
Motor Vehicle Cross-subsidies,New York City Transit,New York City Transit,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",190.6811331,190.6811331,1/1/2011,Dedicated Taxes and Subsidies,MTA Aid,Dedicated Taxes and Subsidies,2011,190.6811331
General Taxpayer Subsidies,New York City Transit,New York City Transit,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",814.3716197,814.3716197,1/1/2011,Dedicated Taxes and Subsidies,Metropolitan Mass Transportation Operating Assist-Non PBT,Dedicated Taxes and Subsidies,2011,814.3716197
Motor Vehicle Cross-subsidies,New York City Transit,New York City Transit,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",34.52838034,34.52838034,1/1/2011,Dedicated Taxes and Subsidies,Metropolitan Mass Transportation Operating Assist-PBT Portion,Dedicated Taxes and Subsidies,2011,34.52838034
General Taxpayer Subsidies,New York City Transit,New York City Transit,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",,,1/1/2011,Dedicated Taxes and Subsidies,Mortgage Recording Tax,Dedicated Taxes and Subsidies,2011,
General Taxpayer Subsidies,New York City Transit,New York City Transit,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",,,1/1/2011,Dedicated Taxes and Subsidies,NYC Operating Support for SAP,Dedicated Taxes and Subsidies,2011,
General Taxpayer Subsidies,New York City Transit,New York City Transit,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",,,1/1/2011,Dedicated Taxes and Subsidies,NYS Operating Support for SAP,Dedicated Taxes and Subsidies,2011,
Fares and Other Operating Revenue,New York City Transit,New York City Transit,,"Includes reimbursements from New York City for public school student and senior fares and for the provision of paratransit service. Also includes all other operating revenues from rental income, advertising, and other miscellaneous sources.",111.509,111.509,1/1/2011,Other Operating Revenue,Other Operating Revenue,Other Operating Revenue,2011,111.509
Fares and Other Operating Revenue,New York City Transit,New York City Transit,,Includes farebox revenue and unused fare media.,14.613,14.613,1/1/2011,Fare Revenue,Paratransit,Fare Revenue,2011,14.613
Fares and Other Operating Revenue,New York City Transit,New York City Transit,,"Includes reimbursements from New York City for public school student and senior fares and for the provision of paratransit service. Also includes all other operating revenues from rental income, advertising, and other miscellaneous sources.",111.66,111.66,1/1/2011,Other Operating Revenue,Paratransit Reimbursement,Other Operating Revenue,2011,111.66
General Taxpayer Subsidies,New York City Transit,New York City Transit,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",1231.073899,1231.073899,1/1/2011,Dedicated Taxes and Subsidies,Payroll Mobility Tax,Dedicated Taxes and Subsidies,2011,1231.073899
General Taxpayer Subsidies,New York City Transit,New York City Transit,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",,,1/1/2011,Dedicated Taxes and Subsidies,Payroll Mobility Tax Replacement Funds,Dedicated Taxes and Subsidies,2011,
Motor Vehicle Cross-subsidies,New York City Transit,New York City Transit,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",526.7,526.7,1/1/2011,Dedicated Taxes and Subsidies,Petroleum Business Tax Receipts,Dedicated Taxes and Subsidies,2011,526.7
General Taxpayer Subsidies,New York City Transit,New York City Transit,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",158.1,158.1,1/1/2011,Dedicated Taxes and Subsidies,State Operating Assistance,Dedicated Taxes and Subsidies,2011,158.1
Fares and Other Operating Revenue,New York City Transit,New York City Transit,,Includes farebox revenue and unused fare media.,2698.747,2698.747,1/1/2011,Fare Revenue,Subway,Fare Revenue,2011,2698.747
Motor Vehicle Cross-subsidies,New York City Transit,New York City Transit,,Includes tolls collected from the MTA's Bridges and Tunnels,0,0,1/1/2011,Toll Revenue,Toll Increase 2021,Toll Revenue,2011,
General Taxpayer Subsidies,New York City Transit,New York City Transit,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",347,347,1/1/2011,Dedicated Taxes and Subsidies,Urban Tax,Dedicated Taxes and Subsidies,2011,347
Motor Vehicle Cross-subsidies,New York City Transit,New York City Transit,,Includes tolls collected from the MTA's Bridges and Tunnels,189.1524838,189.1524838,1/1/2012,Toll Revenue,B&T Operating Surplus,Toll Revenue,2012,189.1524838
Fares and Other Operating Revenue,New York City Transit,New York City Transit,,Includes farebox revenue and unused fare media.,870.48,870.48,1/1/2012,Fare Revenue,Bus,Fare Revenue,2012,870.48
Motor Vehicle Cross-subsidies,New York City Transit,New York City Transit,,Includes tolls collected from the MTA's Bridges and Tunnels,274.185,274.185,1/1/2012,Toll Revenue,B&T-Paid Debt Service,Toll Revenue,2012,274.185
Fares and Other Operating Revenue,New York City Transit,New York City Transit,,Includes farebox revenue and unused fare media.,0,0,1/1/2012,Fare Revenue,Fare Increase 2021,Fare Revenue,2012,
Fares and Other Operating Revenue,New York City Transit,New York City Transit,,Includes farebox revenue and unused fare media.,95.366,95.366,1/1/2012,Fare Revenue,Fare Media Liability,Fare Revenue,2012,95.366
Fares and Other Operating Revenue,New York City Transit,New York City Transit,,"Includes reimbursements from New York City for public school student and senior fares and for the provision of paratransit service. Also includes all other operating revenues from rental income, advertising, and other miscellaneous sources.",84.016,84.016,1/1/2012,Other Operating Revenue,Fare Reimbursement,Other Operating Revenue,2012,84.016
Motor Vehicle Cross-subsidies,New York City Transit,New York City Transit,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",,,1/1/2012,Dedicated Taxes and Subsidies,General Transportation Account,Dedicated Taxes and Subsidies,2012,
General Taxpayer Subsidies,New York City Transit,New York City Transit,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",158.43728,158.43728,1/1/2012,Dedicated Taxes and Subsidies,Local Operating Assistance,Dedicated Taxes and Subsidies,2012,158.43728
Motor Vehicle Cross-subsidies,New York City Transit,New York City Transit,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",237.4,237.4,1/1/2012,Dedicated Taxes and Subsidies,MTA Aid,Dedicated Taxes and Subsidies,2012,237.4
General Taxpayer Subsidies,New York City Transit,New York City Transit,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",854.1288763,854.1288763,1/1/2012,Dedicated Taxes and Subsidies,Metropolitan Mass Transportation Operating Assist-Non PBT,Dedicated Taxes and Subsidies,2012,854.1288763
Motor Vehicle Cross-subsidies,New York City Transit,New York City Transit,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",38.27112373,38.27112373,1/1/2012,Dedicated Taxes and Subsidies,Metropolitan Mass Transportation Operating Assist-PBT Portion,Dedicated Taxes and Subsidies,2012,38.27112373
General Taxpayer Subsidies,New York City Transit,New York City Transit,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",,,1/1/2012,Dedicated Taxes and Subsidies,Mortgage Recording Tax,Dedicated Taxes and Subsidies,2012,
General Taxpayer Subsidies,New York City Transit,New York City Transit,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",,,1/1/2012,Dedicated Taxes and Subsidies,NYC Operating Support for SAP,Dedicated Taxes and Subsidies,2012,
General Taxpayer Subsidies,New York City Transit,New York City Transit,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",,,1/1/2012,Dedicated Taxes and Subsidies,NYS Operating Support for SAP,Dedicated Taxes and Subsidies,2012,
Fares and Other Operating Revenue,New York City Transit,New York City Transit,,"Includes reimbursements from New York City for public school student and senior fares and for the provision of paratransit service. Also includes all other operating revenues from rental income, advertising, and other miscellaneous sources.",112.166,112.166,1/1/2012,Other Operating Revenue,Other Operating Revenue,Other Operating Revenue,2012,112.166
Fares and Other Operating Revenue,New York City Transit,New York City Transit,,Includes farebox revenue and unused fare media.,15.086,15.086,1/1/2012,Fare Revenue,Paratransit,Fare Revenue,2012,15.086
Fares and Other Operating Revenue,New York City Transit,New York City Transit,,"Includes reimbursements from New York City for public school student and senior fares and for the provision of paratransit service. Also includes all other operating revenues from rental income, advertising, and other miscellaneous sources.",135.51,135.51,1/1/2012,Other Operating Revenue,Paratransit Reimbursement,Other Operating Revenue,2012,135.51
General Taxpayer Subsidies,New York City Transit,New York City Transit,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",944.9,944.9,1/1/2012,Dedicated Taxes and Subsidies,Payroll Mobility Tax,Dedicated Taxes and Subsidies,2012,944.9
General Taxpayer Subsidies,New York City Transit,New York City Transit,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",190.4,190.4,1/1/2012,Dedicated Taxes and Subsidies,Payroll Mobility Tax Replacement Funds,Dedicated Taxes and Subsidies,2012,190.4
Motor Vehicle Cross-subsidies,New York City Transit,New York City Transit,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",510.1950292,510.1950292,1/1/2012,Dedicated Taxes and Subsidies,Petroleum Business Tax Receipts,Dedicated Taxes and Subsidies,2012,510.1950292
General Taxpayer Subsidies,New York City Transit,New York City Transit,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",158.1,158.1,1/1/2012,Dedicated Taxes and Subsidies,State Operating Assistance,Dedicated Taxes and Subsidies,2012,158.1
Fares and Other Operating Revenue,New York City Transit,New York City Transit,,Includes farebox revenue and unused fare media.,2742.049,2742.049,1/1/2012,Fare Revenue,Subway,Fare Revenue,2012,2742.049
Motor Vehicle Cross-subsidies,New York City Transit,New York City Transit,,Includes tolls collected from the MTA's Bridges and Tunnels,0,0,1/1/2012,Toll Revenue,Toll Increase 2021,Toll Revenue,2012,
General Taxpayer Subsidies,New York City Transit,New York City Transit,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",439.1,439.1,1/1/2012,Dedicated Taxes and Subsidies,Urban Tax,Dedicated Taxes and Subsidies,2012,439.1
Motor Vehicle Cross-subsidies,New York City Transit,New York City Transit,,Includes tolls collected from the MTA's Bridges and Tunnels,249.3287129,249.3287129,1/1/2013,Toll Revenue,B&T Operating Surplus,Toll Revenue,2013,249.3287129
Fares and Other Operating Revenue,New York City Transit,New York City Transit,,Includes farebox revenue and unused fare media.,941.063,941.063,1/1/2013,Fare Revenue,Bus,Fare Revenue,2013,941.063
Motor Vehicle Cross-subsidies,New York City Transit,New York City Transit,,Includes tolls collected from the MTA's Bridges and Tunnels,271.152,271.152,1/1/2013,Toll Revenue,B&T-Paid Debt Service,Toll Revenue,2013,271.152
Fares and Other Operating Revenue,New York City Transit,New York City Transit,,Includes farebox revenue and unused fare media.,0,0,1/1/2013,Fare Revenue,Fare Increase 2021,Fare Revenue,2013,
Fares and Other Operating Revenue,New York City Transit,New York City Transit,,Includes farebox revenue and unused fare media.,63.567,63.567,1/1/2013,Fare Revenue,Fare Media Liability,Fare Revenue,2013,63.567
Fares and Other Operating Revenue,New York City Transit,New York City Transit,,"Includes reimbursements from New York City for public school student and senior fares and for the provision of paratransit service. Also includes all other operating revenues from rental income, advertising, and other miscellaneous sources.",84.017,84.017,1/1/2013,Other Operating Revenue,Fare Reimbursement,Other Operating Revenue,2013,84.017
Motor Vehicle Cross-subsidies,New York City Transit,New York City Transit,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",,,1/1/2013,Dedicated Taxes and Subsidies,General Transportation Account,Dedicated Taxes and Subsidies,2013,
General Taxpayer Subsidies,New York City Transit,New York City Transit,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",157.5967639,157.5967639,1/1/2013,Dedicated Taxes and Subsidies,Local Operating Assistance,Dedicated Taxes and Subsidies,2013,157.5967639
Motor Vehicle Cross-subsidies,New York City Transit,New York City Transit,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",225.6223462,225.6223462,1/1/2013,Dedicated Taxes and Subsidies,MTA Aid,Dedicated Taxes and Subsidies,2013,225.6223462
General Taxpayer Subsidies,New York City Transit,New York City Transit,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",959.5012151,959.5012151,1/1/2013,Dedicated Taxes and Subsidies,Metropolitan Mass Transportation Operating Assist-Non PBT,Dedicated Taxes and Subsidies,2013,959.5012151
Motor Vehicle Cross-subsidies,New York City Transit,New York City Transit,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",39.89878494,39.89878494,1/1/2013,Dedicated Taxes and Subsidies,Metropolitan Mass Transportation Operating Assist-PBT Portion,Dedicated Taxes and Subsidies,2013,39.89878494
General Taxpayer Subsidies,New York City Transit,New York City Transit,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",,,1/1/2013,Dedicated Taxes and Subsidies,Mortgage Recording Tax,Dedicated Taxes and Subsidies,2013,
General Taxpayer Subsidies,New York City Transit,New York City Transit,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",,,1/1/2013,Dedicated Taxes and Subsidies,NYC Operating Support for SAP,Dedicated Taxes and Subsidies,2013,
General Taxpayer Subsidies,New York City Transit,New York City Transit,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",,,1/1/2013,Dedicated Taxes and Subsidies,NYS Operating Support for SAP,Dedicated Taxes and Subsidies,2013,
Fares and Other Operating Revenue,New York City Transit,New York City Transit,,"Includes reimbursements from New York City for public school student and senior fares and for the provision of paratransit service. Also includes all other operating revenues from rental income, advertising, and other miscellaneous sources.",260.073,260.073,1/1/2013,Other Operating Revenue,Other Operating Revenue,Other Operating Revenue,2013,260.073
Fares and Other Operating Revenue,New York City Transit,New York City Transit,,Includes farebox revenue and unused fare media.,16.465,16.465,1/1/2013,Fare Revenue,Paratransit,Fare Revenue,2013,16.465
Fares and Other Operating Revenue,New York City Transit,New York City Transit,,"Includes reimbursements from New York City for public school student and senior fares and for the provision of paratransit service. Also includes all other operating revenues from rental income, advertising, and other miscellaneous sources.",169.615,169.615,1/1/2013,Other Operating Revenue,Paratransit Reimbursement,Other Operating Revenue,2013,169.615
General Taxpayer Subsidies,New York City Transit,New York City Transit,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",905.4223506,905.4223506,1/1/2013,Dedicated Taxes and Subsidies,Payroll Mobility Tax,Dedicated Taxes and Subsidies,2013,905.4223506
General Taxpayer Subsidies,New York City Transit,New York City Transit,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",228.9223557,228.9223557,1/1/2013,Dedicated Taxes and Subsidies,Payroll Mobility Tax Replacement Funds,Dedicated Taxes and Subsidies,2013,228.9223557
Motor Vehicle Cross-subsidies,New York City Transit,New York City Transit,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",500.9497954,500.9497954,1/1/2013,Dedicated Taxes and Subsidies,Petroleum Business Tax Receipts,Dedicated Taxes and Subsidies,2013,500.9497954
General Taxpayer Subsidies,New York City Transit,New York City Transit,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",158.1,158.1,1/1/2013,Dedicated Taxes and Subsidies,State Operating Assistance,Dedicated Taxes and Subsidies,2013,158.1
Fares and Other Operating Revenue,New York City Transit,New York City Transit,,Includes farebox revenue and unused fare media.,3030.746,3030.746,1/1/2013,Fare Revenue,Subway,Fare Revenue,2013,3030.746
Motor Vehicle Cross-subsidies,New York City Transit,New York City Transit,,Includes tolls collected from the MTA's Bridges and Tunnels,0,0,1/1/2013,Toll Revenue,Toll Increase 2021,Toll Revenue,2013,
