Business Line (group),Business Line,Date Prefix,Adjustments Outcome,No-Adjustments Value,Date,Date (group),Description1,Revenue and Expense Type,Year,Value
Metro-North,Metro-North Railroad,Projected,102.297,102.297,1/1/2023,Projected,Overtime,Labor Expense,2023,102.297
Metro-North,Metro-North Railroad,Projected,568.003,568.003,1/1/2023,Projected,Payroll,Labor Expense,2023,568.003
Metro-North,Metro-North Railroad,Projected,89.995,89.995,1/1/2023,Projected,Pensions,Labor Expense,2023,89.995
Metro-North,Metro-North Railroad,Projected,39.987,39.987,1/1/2023,Projected,Professional Service Contracts,Non-labor Expense,2023,39.987
Metro-North,Metro-North Railroad,Projected,-51.161,-51.161,1/1/2023,Projected,Reimbursable Overhead,Labor Expense,2023,-51.161
Metro-North,Metro-North Railroad,Projected,517.7738995,517.7738995,1/1/2023,Projected,Total CRR Debt Service,Debt Service,2023,517.7738995
New York City Transit,New York City Transit,,1091.514,1091.514,1/1/2010, ,Total NYCT Debt Service,Debt Service,2010,1091.514
New York City Transit,New York City Transit,,174.448,174.448,1/1/2011, ,Claims,Non-labor Expense,2011,174.448
New York City Transit,New York City Transit,,275.971,275.971,1/1/2011, ,Electric Power,Non-labor Expense,2011,275.971
New York City Transit,New York City Transit,,170.517,170.517,1/1/2011, ,Fuel,Non-labor Expense,2011,170.517
New York City Transit,New York City Transit,,548.888,548.888,1/1/2011, ,Health and Welfare,Labor Expense,2011,548.888
New York City Transit,New York City Transit,,57.861,57.861,1/1/2011, ,Insurance,Non-labor Expense,2011,57.861
New York City Transit,New York City Transit,,139.908,139.908,1/1/2011, ,Maintenance and Other Operating Contracts,Non-labor Expense,2011,139.908
New York City Transit,New York City Transit,,261.923,261.923,1/1/2011, ,Materials and Supplies,Non-labor Expense,2011,261.923
New York City Transit,New York City Transit,,283.092,283.092,1/1/2011, ,OPEB Current Payment,Labor Expense,2011,283.092
New York City Transit,New York City Transit,,65.101,65.101,1/1/2011, ,Other Business Expenses,Non-labor Expense,2011,65.101
New York City Transit,New York City Transit,,324.932,324.932,1/1/2011, ,Other Fringe Benefits,Labor Expense,2011,324.932
New York City Transit,New York City Transit,,304.743,304.743,1/1/2011, ,Overtime,Labor Expense,2011,304.743
New York City Transit,New York City Transit,,348.553,348.553,1/1/2011, ,Paratransit Service Contracts,Non-labor Expense,2011,348.553
New York City Transit,New York City Transit,,2791.486,2791.486,1/1/2011, ,Payroll,Labor Expense,2011,2791.486
New York City Transit,New York City Transit,,780.581,780.581,1/1/2011, ,Pensions,Labor Expense,2011,780.581
New York City Transit,New York City Transit,,111.923,111.923,1/1/2011, ,Professional Service Contracts,Non-labor Expense,2011,111.923
New York City Transit,New York City Transit,,-218.036,-218.036,1/1/2011, ,Reimbursable Overhead,Labor Expense,2011,-218.036
New York City Transit,New York City Transit,,1206.647,1206.647,1/1/2011, ,Total NYCT Debt Service,Debt Service,2011,1206.647
New York City Transit,New York City Transit,,63.79,63.79,1/1/2012, ,Claims,Non-labor Expense,2012,63.79
New York City Transit,New York City Transit,,295.202,295.202,1/1/2012, ,Electric Power,Non-labor Expense,2012,295.202
New York City Transit,New York City Transit,,163.697,163.697,1/1/2012, ,Fuel,Non-labor Expense,2012,163.697
New York City Transit,New York City Transit,,554.422,554.422,1/1/2012, ,Health and Welfare,Labor Expense,2012,554.422
New York City Transit,New York City Transit,,53.949,53.949,1/1/2012, ,Insurance,Non-labor Expense,2012,53.949
New York City Transit,New York City Transit,,140.511,140.511,1/1/2012, ,Maintenance and Other Operating Contracts,Non-labor Expense,2012,140.511
New York City Transit,New York City Transit,,246.839,246.839,1/1/2012, ,Materials and Supplies,Non-labor Expense,2012,246.839
New York City Transit,New York City Transit,,297.965,297.965,1/1/2012, ,OPEB Current Payment,Labor Expense,2012,297.965
New York City Transit,New York City Transit,,63.971,63.971,1/1/2012, ,Other Business Expenses,Non-labor Expense,2012,63.971
New York City Transit,New York City Transit,,361.697,361.697,1/1/2012, ,Other Fringe Benefits,Labor Expense,2012,361.697
New York City Transit,New York City Transit,,345.432,345.432,1/1/2012, ,Overtime,Labor Expense,2012,345.432
New York City Transit,New York City Transit,,360.5,360.5,1/1/2012, ,Paratransit Service Contracts,Non-labor Expense,2012,360.5
New York City Transit,New York City Transit,,2869.509,2869.509,1/1/2012, ,Payroll,Labor Expense,2012,2869.509
New York City Transit,New York City Transit,,981.908,981.908,1/1/2012, ,Pensions,Labor Expense,2012,981.908
New York City Transit,New York City Transit,,136.745,136.745,1/1/2012, ,Professional Service Contracts,Non-labor Expense,2012,136.745
New York City Transit,New York City Transit,,-188.844,-188.844,1/1/2012, ,Reimbursable Overhead,Labor Expense,2012,-188.844
New York City Transit,New York City Transit,,1287.07,1287.07,1/1/2012, ,Total NYCT Debt Service,Debt Service,2012,1287.07
New York City Transit,New York City Transit,,144.022,144.022,1/1/2013, ,Claims,Non-labor Expense,2013,144.022
New York City Transit,New York City Transit,,298.593,298.593,1/1/2013, ,Electric Power,Non-labor Expense,2013,298.593
New York City Transit,New York City Transit,,160.588,160.588,1/1/2013, ,Fuel,Non-labor Expense,2013,160.588
New York City Transit,New York City Transit,,618.044,618.044,1/1/2013, ,Health and Welfare,Labor Expense,2013,618.044
New York City Transit,New York City Transit,,62.492,62.492,1/1/2013, ,Insurance,Non-labor Expense,2013,62.492
New York City Transit,New York City Transit,,168.003,168.003,1/1/2013, ,Maintenance and Other Operating Contracts,Non-labor Expense,2013,168.003
New York City Transit,New York City Transit,,270.69,270.69,1/1/2013, ,Materials and Supplies,Non-labor Expense,2013,270.69
New York City Transit,New York City Transit,,325.602,325.602,1/1/2013, ,OPEB Current Payment,Labor Expense,2013,325.602
New York City Transit,New York City Transit,,62.965,62.965,1/1/2013, ,Other Business Expenses,Non-labor Expense,2013,62.965
New York City Transit,New York City Transit,,388.793,388.793,1/1/2013, ,Other Fringe Benefits,Labor Expense,2013,388.793
New York City Transit,New York City Transit,,378.048,378.048,1/1/2013, ,Overtime,Labor Expense,2013,378.048
New York City Transit,New York City Transit,,366.751,366.751,1/1/2013, ,Paratransit Service Contracts,Non-labor Expense,2013,366.751
New York City Transit,New York City Transit,,2963.406,2963.406,1/1/2013, ,Payroll,Labor Expense,2013,2963.406
New York City Transit,New York City Transit,,918.909,918.909,1/1/2013, ,Pensions,Labor Expense,2013,918.909
New York City Transit,New York City Transit,,144.929,144.929,1/1/2013, ,Professional Service Contracts,Non-labor Expense,2013,144.929
New York City Transit,New York City Transit,,-209.291,-209.291,1/1/2013, ,Reimbursable Overhead,Labor Expense,2013,-209.291
New York City Transit,New York City Transit,,1429.16,1429.16,1/1/2013, ,Total NYCT Debt Service,Debt Service,2013,1429.16
New York City Transit,New York City Transit,,147.42,147.42,1/1/2014, ,Claims,Non-labor Expense,2014,147.42
New York City Transit,New York City Transit,,312.554,312.554,1/1/2014, ,Electric Power,Non-labor Expense,2014,312.554
New York City Transit,New York City Transit,,172.346,172.346,1/1/2014, ,Fuel,Non-labor Expense,2014,172.346
New York City Transit,New York City Transit,,666.761,666.761,1/1/2014, ,Health and Welfare,Labor Expense,2014,666.761
New York City Transit,New York City Transit,,68.879,68.879,1/1/2014, ,Insurance,Non-labor Expense,2014,68.879
New York City Transit,New York City Transit,,186.056,186.056,1/1/2014, ,Maintenance and Other Operating Contracts,Non-labor Expense,2014,186.056
New York City Transit,New York City Transit,,302.697,302.697,1/1/2014, ,Materials and Supplies,Non-labor Expense,2014,302.697
New York City Transit,New York City Transit,,352.674,352.674,1/1/2014, ,OPEB Current Payment,Labor Expense,2014,352.674
New York City Transit,New York City Transit,,76.132,76.132,1/1/2014, ,Other Business Expenses,Non-labor Expense,2014,76.132
New York City Transit,New York City Transit,,437.921,437.921,1/1/2014, ,Other Fringe Benefits,Labor Expense,2014,437.921
New York City Transit,New York City Transit,,415.599,415.599,1/1/2014, ,Overtime,Labor Expense,2014,415.599
New York City Transit,New York City Transit,,365.599,365.599,1/1/2014, ,Paratransit Service Contracts,Non-labor Expense,2014,365.599
New York City Transit,New York City Transit,,3041.049,3041.049,1/1/2014, ,Payroll,Labor Expense,2014,3041.049
New York City Transit,New York City Transit,,907.877,907.877,1/1/2014, ,Pensions,Labor Expense,2014,907.877
New York City Transit,New York City Transit,,125.757,125.757,1/1/2014, ,Professional Service Contracts,Non-labor Expense,2014,125.757
New York City Transit,New York City Transit,,-226.548,-226.548,1/1/2014, ,Reimbursable Overhead,Labor Expense,2014,-226.548
New York City Transit,New York City Transit,,1390.931,1390.931,1/1/2014, ,Total NYCT Debt Service,Debt Service,2014,1390.931
New York City Transit,New York City Transit,,184.366,184.366,1/1/2015, ,Claims,Non-labor Expense,2015,184.366
New York City Transit,New York City Transit,,286.555,286.555,1/1/2015, ,Electric Power,Non-labor Expense,2015,286.555
New York City Transit,New York City Transit,,101.575,101.575,1/1/2015, ,Fuel,Non-labor Expense,2015,101.575
New York City Transit,New York City Transit,,741.052,741.052,1/1/2015, ,Health and Welfare,Labor Expense,2015,741.052
New York City Transit,New York City Transit,,72.444,72.444,1/1/2015, ,Insurance,Non-labor Expense,2015,72.444
New York City Transit,New York City Transit,,196.382,196.382,1/1/2015, ,Maintenance and Other Operating Contracts,Non-labor Expense,2015,196.382
New York City Transit,New York City Transit,,289.716,289.716,1/1/2015, ,Materials and Supplies,Non-labor Expense,2015,289.716
New York City Transit,New York City Transit,,371.23,371.23,1/1/2015, ,OPEB Current Payment,Labor Expense,2015,371.23
New York City Transit,New York City Transit,,85.973,85.973,1/1/2015, ,Other Business Expenses,Non-labor Expense,2015,85.973
New York City Transit,New York City Transit,,511.677,511.677,1/1/2015, ,Other Fringe Benefits,Labor Expense,2015,511.677
New York City Transit,New York City Transit,,458.579,458.579,1/1/2015, ,Overtime,Labor Expense,2015,458.579
New York City Transit,New York City Transit,,379.271,379.271,1/1/2015, ,Paratransit Service Contracts,Non-labor Expense,2015,379.271
New York City Transit,New York City Transit,,3075.994,3075.994,1/1/2015, ,Payroll,Labor Expense,2015,3075.994
New York City Transit,New York City Transit,,867.658,867.658,1/1/2015, ,Pensions,Labor Expense,2015,867.658
New York City Transit,New York City Transit,,93.673,93.673,1/1/2015, ,Professional Service Contracts,Non-labor Expense,2015,93.673
New York City Transit,New York City Transit,,-240.904,-240.904,1/1/2015, ,Reimbursable Overhead,Labor Expense,2015,-240.904
New York City Transit,New York City Transit,,1443.67,1443.67,1/1/2015, ,Total NYCT Debt Service,Debt Service,2015,1443.67
New York City Transit,New York City Transit,,251.372,251.372,1/1/2016, ,Claims,Non-labor Expense,2016,251.372
New York City Transit,New York City Transit,,250.256,250.256,1/1/2016, ,Electric Power,Non-labor Expense,2016,250.256
New York City Transit,New York City Transit,,78.076,78.076,1/1/2016, ,Fuel,Non-labor Expense,2016,78.076
New York City Transit,New York City Transit,,829.974,829.974,1/1/2016, ,Health and Welfare,Labor Expense,2016,829.974
New York City Transit,New York City Transit,,73.427,73.427,1/1/2016, ,Insurance,Non-labor Expense,2016,73.427
New York City Transit,New York City Transit,,222.509,222.509,1/1/2016, ,Maintenance and Other Operating Contracts,Non-labor Expense,2016,222.509
New York City Transit,New York City Transit,,311.86,311.86,1/1/2016, ,Materials and Supplies,Non-labor Expense,2016,311.86
New York City Transit,New York City Transit,,420.715,420.715,1/1/2016, ,OPEB Current Payment,Labor Expense,2016,420.715
New York City Transit,New York City Transit,,79.921,79.921,1/1/2016, ,Other Business Expenses,Non-labor Expense,2016,79.921
New York City Transit,New York City Transit,,591.545,591.545,1/1/2016, ,Other Fringe Benefits,Labor Expense,2016,591.545
New York City Transit,New York City Transit,,464.337,464.337,1/1/2016, ,Overtime,Labor Expense,2016,464.337
New York City Transit,New York City Transit,,383.704,383.704,1/1/2016, ,Paratransit Service Contracts,Non-labor Expense,2016,383.704
New York City Transit,New York City Transit,,3168.098,3168.098,1/1/2016, ,Payroll,Labor Expense,2016,3168.098
New York City Transit,New York City Transit,,984.192,984.192,1/1/2016, ,Pensions,Labor Expense,2016,984.192
New York City Transit,New York City Transit,,134.344,134.344,1/1/2016, ,Professional Service Contracts,Non-labor Expense,2016,134.344
New York City Transit,New York City Transit,,-262.84,-262.84,1/1/2016, ,Reimbursable Overhead,Labor Expense,2016,-262.84
New York City Transit,New York City Transit,,1482.098,1482.098,1/1/2016, ,Total NYCT Debt Service,Debt Service,2016,1482.098
New York City Transit,New York City Transit,,278.671,278.671,1/1/2017, ,Claims,Non-labor Expense,2017,278.671
New York City Transit,New York City Transit,,265.304,265.304,1/1/2017, ,Electric Power,Non-labor Expense,2017,265.304
New York City Transit,New York City Transit,,95.44,95.44,1/1/2017, ,Fuel,Non-labor Expense,2017,95.44
New York City Transit,New York City Transit,,860.115,860.115,1/1/2017, ,Health and Welfare,Labor Expense,2017,860.115
New York City Transit,New York City Transit,,72.101,72.101,1/1/2017, ,Insurance,Non-labor Expense,2017,72.101
New York City Transit,New York City Transit,,245.875,245.875,1/1/2017, ,Maintenance and Other Operating Contracts,Non-labor Expense,2017,245.875
New York City Transit,New York City Transit,,319.469,319.469,1/1/2017, ,Materials and Supplies,Non-labor Expense,2017,319.469
New York City Transit,New York City Transit,,413.712,413.712,1/1/2017, ,OPEB Current Payment,Labor Expense,2017,413.712
New York City Transit,New York City Transit,,82.909,82.909,1/1/2017, ,Other Business Expenses,Non-labor Expense,2017,82.909
New York City Transit,New York City Transit,,409.671,409.671,1/1/2017, ,Other Fringe Benefits,Labor Expense,2017,409.671
New York City Transit,New York City Transit,,592.05,592.05,1/1/2017, ,Overtime,Labor Expense,2017,592.05
New York City Transit,New York City Transit,,392.849,392.849,1/1/2017, ,Paratransit Service Contracts,Non-labor Expense,2017,392.849
New York City Transit,New York City Transit,,3308.713,3308.713,1/1/2017, ,Payroll,Labor Expense,2017,3308.713
New York City Transit,New York City Transit,,926.786,926.786,1/1/2017, ,Pensions,Labor Expense,2017,926.786
New York City Transit,New York City Transit,,172.184,172.184,1/1/2017, ,Professional Service Contracts,Non-labor Expense,2017,172.184
New York City Transit,New York City Transit,,-304.409,-304.409,1/1/2017, ,Reimbursable Overhead,Labor Expense,2017,-304.409
New York City Transit,New York City Transit,,1527.292,1527.292,1/1/2017, ,Total NYCT Debt Service,Debt Service,2017,1527.292
New York City Transit,New York City Transit,Mid-year forecast,225.666,225.666,1/1/2018, ,Claims,Non-labor Expense,2018,225.666
New York City Transit,New York City Transit,Mid-year forecast,301.001,301.001,1/1/2018, ,Electric Power,Non-labor Expense,2018,301.001
New York City Transit,New York City Transit,Mid-year forecast,112.183,112.183,1/1/2018, ,Fuel,Non-labor Expense,2018,112.183
New York City Transit,New York City Transit,Mid-year forecast,855.91,855.91,1/1/2018, ,Health and Welfare,Labor Expense,2018,855.91
New York City Transit,New York City Transit,Mid-year forecast,67.313,67.313,1/1/2018, ,Insurance,Non-labor Expense,2018,67.313
New York City Transit,New York City Transit,Mid-year forecast,233.963,233.963,1/1/2018, ,Maintenance and Other Operating Contracts,Non-labor Expense,2018,233.963
New York City Transit,New York City Transit,Mid-year forecast,353.25,353.25,1/1/2018, ,Materials and Supplies,Non-labor Expense,2018,353.25
New York City Transit,New York City Transit,Mid-year forecast,444.137,444.137,1/1/2018, ,OPEB Current Payment,Labor Expense,2018,444.137
New York City Transit,New York City Transit,Mid-year forecast,88.095,88.095,1/1/2018, ,Other Business Expenses,Non-labor Expense,2018,88.095
New York City Transit,New York City Transit,Mid-year forecast,489.257,489.257,1/1/2018, ,Other Fringe Benefits,Labor Expense,2018,489.257
New York City Transit,New York City Transit,Mid-year forecast,684.331,684.331,1/1/2018, ,Overtime,Labor Expense,2018,684.331
New York City Transit,New York City Transit,Mid-year forecast,455.471,455.471,1/1/2018, ,Paratransit Service Contracts,Non-labor Expense,2018,455.471
New York City Transit,New York City Transit,Mid-year forecast,3422.442,3422.442,1/1/2018, ,Payroll,Labor Expense,2018,3422.442
New York City Transit,New York City Transit,Mid-year forecast,933.318,933.318,1/1/2018, ,Pensions,Labor Expense,2018,933.318
New York City Transit,New York City Transit,Mid-year forecast,197.373,197.373,1/1/2018, ,Professional Service Contracts,Non-labor Expense,2018,197.373
New York City Transit,New York City Transit,Mid-year forecast,-347.451,-347.451,1/1/2018, ,Reimbursable Overhead,Labor Expense,2018,-347.451
New York City Transit,New York City Transit,Mid-year forecast,1549.155,1549.155,1/1/2018, ,Total NYCT Debt Service,Debt Service,2018,1549.155
New York City Transit,New York City Transit,Preliminary budget,208.909,208.909,1/1/2019,Projected,Claims,Non-labor Expense,2019,208.909
New York City Transit,New York City Transit,Preliminary budget,278.854,278.854,1/1/2019,Projected,Electric Power,Non-labor Expense,2019,278.854
New York City Transit,New York City Transit,Preliminary budget,108.687,108.687,1/1/2019,Projected,Fuel,Non-labor Expense,2019,108.687
New York City Transit,New York City Transit,Preliminary budget,949.405,949.405,1/1/2019,Projected,Health and Welfare,Labor Expense,2019,949.405
New York City Transit,New York City Transit,Preliminary budget,68.914,68.914,1/1/2019,Projected,Insurance,Non-labor Expense,2019,68.914
New York City Transit,New York City Transit,Preliminary budget,323.546,323.546,1/1/2019,Projected,Maintenance and Other Operating Contracts,Non-labor Expense,2019,323.546
New York City Transit,New York City Transit,Preliminary budget,348.584,348.584,1/1/2019,Projected,Materials and Supplies,Non-labor Expense,2019,348.584
New York City Transit,New York City Transit,Preliminary budget,474.087,474.087,1/1/2019,Projected,OPEB Current Payment,Labor Expense,2019,474.087
New York City Transit,New York City Transit,Preliminary budget,85.016,85.016,1/1/2019,Projected,Other Business Expenses,Non-labor Expense,2019,85.016
New York City Transit,New York City Transit,Preliminary budget,464.17,464.17,1/1/2019,Projected,Other Fringe Benefits,Labor Expense,2019,464.17
New York City Transit,New York City Transit,Preliminary budget,550.871,550.871,1/1/2019,Projected,Overtime,Labor Expense,2019,550.871
New York City Transit,New York City Transit,Preliminary budget,494.751,494.751,1/1/2019,Projected,Paratransit Service Contracts,Non-labor Expense,2019,494.751
New York City Transit,New York City Transit,Preliminary budget,3508.669,3508.669,1/1/2019,Projected,Payroll,Labor Expense,2019,3508.669
New York City Transit,New York City Transit,Preliminary budget,1066.783,1066.783,1/1/2019,Projected,Pensions,Labor Expense,2019,1066.783
New York City Transit,New York City Transit,Preliminary budget,198.069,198.069,1/1/2019,Projected,Professional Service Contracts,Non-labor Expense,2019,198.069
New York City Transit,New York City Transit,Preliminary budget,-291.996,-291.996,1/1/2019,Projected,Reimbursable Overhead,Labor Expense,2019,-291.996
New York City Transit,New York City Transit,Preliminary budget,1590.924,1590.924,1/1/2019,Projected,Total NYCT Debt Service,Debt Service,2019,1590.924
New York City Transit,New York City Transit,Projected,210.484,210.484,1/1/2020,Projected,Claims,Non-labor Expense,2020,210.484
New York City Transit,New York City Transit,Projected,291.629,291.629,1/1/2020,Projected,Electric Power,Non-labor Expense,2020,291.629
New York City Transit,New York City Transit,Projected,110.853,110.853,1/1/2020,Projected,Fuel,Non-labor Expense,2020,110.853
New York City Transit,New York City Transit,Projected,991.981,991.981,1/1/2020,Projected,Health and Welfare,Labor Expense,2020,991.981
New York City Transit,New York City Transit,Projected,78.205,78.205,1/1/2020,Projected,Insurance,Non-labor Expense,2020,78.205
New York City Transit,New York City Transit,Projected,328.228,328.228,1/1/2020,Projected,Maintenance and Other Operating Contracts,Non-labor Expense,2020,328.228
New York City Transit,New York City Transit,Projected,369.588,369.588,1/1/2020,Projected,Materials and Supplies,Non-labor Expense,2020,369.588
New York City Transit,New York City Transit,Projected,525.189,525.189,1/1/2020,Projected,OPEB Current Payment,Labor Expense,2020,525.189
New York City Transit,New York City Transit,Projected,85.892,85.892,1/1/2020,Projected,Other Business Expenses,Non-labor Expense,2020,85.892
New York City Transit,New York City Transit,Projected,478.126,478.126,1/1/2020,Projected,Other Fringe Benefits,Labor Expense,2020,478.126
New York City Transit,New York City Transit,Projected,493.274,493.274,1/1/2020,Projected,Overtime,Labor Expense,2020,493.274
New York City Transit,New York City Transit,Projected,488.33,488.33,1/1/2020,Projected,Paratransit Service Contracts,Non-labor Expense,2020,488.33
New York City Transit,New York City Transit,Projected,3497.898,3497.898,1/1/2020,Projected,Payroll,Labor Expense,2020,3497.898
New York City Transit,New York City Transit,Projected,1021.268,1021.268,1/1/2020,Projected,Pensions,Labor Expense,2020,1021.268
New York City Transit,New York City Transit,Projected,166.245,166.245,1/1/2020,Projected,Professional Service Contracts,Non-labor Expense,2020,166.245
New York City Transit,New York City Transit,Projected,-269.18,-269.18,1/1/2020,Projected,Reimbursable Overhead,Labor Expense,2020,-269.18
New York City Transit,New York City Transit,Projected,1609.636,1609.636,1/1/2020,Projected,Total NYCT Debt Service,Debt Service,2020,1609.636
New York City Transit,New York City Transit,Projected,207.084,207.084,1/1/2021,Projected,Claims,Non-labor Expense,2021,207.084
New York City Transit,New York City Transit,Projected,301.549,301.549,1/1/2021,Projected,Electric Power,Non-labor Expense,2021,301.549
New York City Transit,New York City Transit,Projected,106.77,106.77,1/1/2021,Projected,Fuel,Non-labor Expense,2021,106.77
New York City Transit,New York City Transit,Projected,1043.999,1043.999,1/1/2021,Projected,Health and Welfare,Labor Expense,2021,1043.999
New York City Transit,New York City Transit,Projected,88.177,88.177,1/1/2021,Projected,Insurance,Non-labor Expense,2021,88.177
New York City Transit,New York City Transit,Projected,334.022,334.022,1/1/2021,Projected,Maintenance and Other Operating Contracts,Non-labor Expense,2021,334.022
New York City Transit,New York City Transit,Projected,372.78,372.78,1/1/2021,Projected,Materials and Supplies,Non-labor Expense,2021,372.78
New York City Transit,New York City Transit,Projected,578.75,578.75,1/1/2021,Projected,OPEB Current Payment,Labor Expense,2021,578.75
New York City Transit,New York City Transit,Projected,86.443,86.443,1/1/2021,Projected,Other Business Expenses,Non-labor Expense,2021,86.443
New York City Transit,New York City Transit,Projected,499.404,499.404,1/1/2021,Projected,Other Fringe Benefits,Labor Expense,2021,499.404
New York City Transit,New York City Transit,Projected,497.369,497.369,1/1/2021,Projected,Overtime,Labor Expense,2021,497.369
New York City Transit,New York City Transit,Projected,505.538,505.538,1/1/2021,Projected,Paratransit Service Contracts,Non-labor Expense,2021,505.538
New York City Transit,New York City Transit,Projected,3526.782,3526.782,1/1/2021,Projected,Payroll,Labor Expense,2021,3526.782
New York City Transit,New York City Transit,Projected,1017.312,1017.312,1/1/2021,Projected,Pensions,Labor Expense,2021,1017.312
New York City Transit,New York City Transit,Projected,157.179,157.179,1/1/2021,Projected,Professional Service Contracts,Non-labor Expense,2021,157.179
New York City Transit,New York City Transit,Projected,-251.335,-251.335,1/1/2021,Projected,Reimbursable Overhead,Labor Expense,2021,-251.335
New York City Transit,New York City Transit,Projected,1655.325,1655.325,1/1/2021,Projected,Total NYCT Debt Service,Debt Service,2021,1655.325
New York City Transit,New York City Transit,Projected,207.084,207.084,1/1/2022,Projected,Claims,Non-labor Expense,2022,207.084
New York City Transit,New York City Transit,Projected,314.995,314.995,1/1/2022,Projected,Electric Power,Non-labor Expense,2022,314.995
New York City Transit,New York City Transit,Projected,105.318,105.318,1/1/2022,Projected,Fuel,Non-labor Expense,2022,105.318
New York City Transit,New York City Transit,Projected,1118.569,1118.569,1/1/2022,Projected,Health and Welfare,Labor Expense,2022,1118.569
New York City Transit,New York City Transit,Projected,97.618,97.618,1/1/2022,Projected,Insurance,Non-labor Expense,2022,97.618
New York City Transit,New York City Transit,Projected,323.177,323.177,1/1/2022,Projected,Maintenance and Other Operating Contracts,Non-labor Expense,2022,323.177
New York City Transit,New York City Transit,Projected,377.635,377.635,1/1/2022,Projected,Materials and Supplies,Non-labor Expense,2022,377.635
New York City Transit,New York City Transit,Projected,639.019,639.019,1/1/2022,Projected,OPEB Current Payment,Labor Expense,2022,639.019
New York City Transit,New York City Transit,Projected,87.341,87.341,1/1/2022,Projected,Other Business Expenses,Non-labor Expense,2022,87.341
New York City Transit,New York City Transit,Projected,512.739,512.739,1/1/2022,Projected,Other Fringe Benefits,Labor Expense,2022,512.739
New York City Transit,New York City Transit,Projected,503.566,503.566,1/1/2022,Projected,Overtime,Labor Expense,2022,503.566
New York City Transit,New York City Transit,Projected,535.329,535.329,1/1/2022,Projected,Paratransit Service Contracts,Non-labor Expense,2022,535.329
New York City Transit,New York City Transit,Projected,3601.427,3601.427,1/1/2022,Projected,Payroll,Labor Expense,2022,3601.427
New York City Transit,New York City Transit,Projected,983.165,983.165,1/1/2022,Projected,Pensions,Labor Expense,2022,983.165
New York City Transit,New York City Transit,Projected,161.644,161.644,1/1/2022,Projected,Professional Service Contracts,Non-labor Expense,2022,161.644
New York City Transit,New York City Transit,Projected,-251.804,-251.804,1/1/2022,Projected,Reimbursable Overhead,Labor Expense,2022,-251.804
New York City Transit,New York City Transit,Projected,1725.697,1725.697,1/1/2022,Projected,Total NYCT Debt Service,Debt Service,2022,1725.697
New York City Transit,New York City Transit,Projected,210.574,210.574,1/1/2023,Projected,Claims,Non-labor Expense,2023,210.574
New York City Transit,New York City Transit,Projected,334.558,334.558,1/1/2023,Projected,Electric Power,Non-labor Expense,2023,334.558
New York City Transit,New York City Transit,Projected,107.306,107.306,1/1/2023,Projected,Fuel,Non-labor Expense,2023,107.306
New York City Transit,New York City Transit,Projected,1190.967,1190.967,1/1/2023,Projected,Health and Welfare,Labor Expense,2023,1190.967
New York City Transit,New York City Transit,Projected,108.265,108.265,1/1/2023,Projected,Insurance,Non-labor Expense,2023,108.265
New York City Transit,New York City Transit,Projected,332.874,332.874,1/1/2023,Projected,Maintenance and Other Operating Contracts,Non-labor Expense,2023,332.874
New York City Transit,New York City Transit,Projected,373.653,373.653,1/1/2023,Projected,Materials and Supplies,Non-labor Expense,2023,373.653
New York City Transit,New York City Transit,Projected,704.852,704.852,1/1/2023,Projected,OPEB Current Payment,Labor Expense,2023,704.852
New York City Transit,New York City Transit,Projected,88.081,88.081,1/1/2023,Projected,Other Business Expenses,Non-labor Expense,2023,88.081
New York City Transit,New York City Transit,Projected,525.714,525.714,1/1/2023,Projected,Other Fringe Benefits,Labor Expense,2023,525.714
New York City Transit,New York City Transit,Projected,519.43,519.43,1/1/2023,Projected,Overtime,Labor Expense,2023,519.43
New York City Transit,New York City Transit,Projected,568.614,568.614,1/1/2023,Projected,Paratransit Service Contracts,Non-labor Expense,2023,568.614
New York City Transit,New York City Transit,Projected,3659.761,3659.761,1/1/2023,Projected,Payroll,Labor Expense,2023,3659.761
New York City Transit,New York City Transit,Projected,946.611,946.611,1/1/2023,Projected,Pensions,Labor Expense,2023,946.611
New York City Transit,New York City Transit,Projected,165.29,165.29,1/1/2023,Projected,Professional Service Contracts,Non-labor Expense,2023,165.29
New York City Transit,New York City Transit,Projected,-252.688,-252.688,1/1/2023,Projected,Reimbursable Overhead,Labor Expense,2023,-252.688
New York City Transit,New York City Transit,Projected,1817.926,1817.926,1/1/2023,Projected,Total NYCT Debt Service,Debt Service,2023,1817.926
New York City Transit,Staten Island Railway,,0.997,0.997,1/1/2010, ,Materials and Supplies,Non-labor Expense,2010,0.997
New York City Transit,Staten Island Railway,,0,0,1/1/2010, ,Other Business Expenses,Non-labor Expense,2010,0
New York City Transit,Staten Island Railway,,0.396,0.396,1/1/2010, ,Professional Service Contracts,Non-labor Expense,2010,0.396
New York City Transit,Staten Island Railway,,0,0,1/1/2010, ,Total SIRTOA Debt Service,Debt Service,2010,0
New York City Transit,Staten Island Railway,,0.177,0.177,1/1/2011, ,Claims,Non-labor Expense,2011,0.177
New York City Transit,Staten Island Railway,,4.466,4.466,1/1/2011, ,Electric Power,Non-labor Expense,2011,4.466
New York City Transit,Staten Island Railway,,0.4,0.4,1/1/2011, ,Fuel,Non-labor Expense,2011,0.4
New York City Transit,Staten Island Railway,,2.89,2.89,1/1/2011, ,Health and Welfare,Labor Expense,2011,2.89
